ID,bookTitle,bookAuthor,bookISBN,countryOfOrigin,language,publishedDate,publisher,pages,price($$),ratings,reviews
46,To Kill a Mockingbird,Horatio Alger,765-80-07226-10-2,Russia,Polish,"Sunday, November 6, 2535",Erickson,308,27.71,4.09,History
47, Oedipus at Colonus,Kurt Vonnegut,487-35-41287-88-8,Uruguay,Yoruba,"Thursday, October 4, 0531",It Smart Group,464,87.22,4.46,Comedy
48,The Handmaid's Tale,Tennessee Williams,067-68-17377-37-3,Cyprus,Chittagonian,"Friday, April 27, 9218",Mars,186,69.77,2.62,Horror
49,Gulliver's Travels,Dr. Seuss,677-17-41282-86-7,Malaysia,Uzbek,"Sunday, August 6, 2417",Vodafone,410,36.11,3.11,Musical
50,The Handmaid's Tale,Ernest Hemingway,850-02-16002-07-2,Fiji,French,"Wednesday, August 7, 5940",Global Print,360,57.91,4.11,Drama
51,The Grapes of Wrath,F. Scott Fitzgerald,630-07-72328-45-0,Central African Republic,Romanian,"Friday, October 2, 1091",Demaco,305,56.51,2.91,Biography
52,The Red and the Black,Carlos Ruiz Zafon,528-41-22528-84-7,Madagascar,Urdu,"Saturday, December 24, 1138",Erickson,286,81.94,1.79,Sci-Fi
53,Game of Thrones,Herman Melville,750-58-66888-47-7,Kazakhstan,Czech,"Friday, March 25, 8439",ExxonMobil,229,46.27,3.10,Action
54,Anna Karenina,Jules Verne,366-61-07683-50-7,Trinidad and Tobago,Yoruba,"Sunday, October 12, 2481",Zepter,551,19.19,2.69,Biography
55, Oedipus at Colonus,Cormac McCarthy,244-25-75116-57-6,Guatemala,French,"Monday, May 21, 5562",Mars,269,11.73,3.13,Comedy
56,The Red and the Black,Herman Melville,530-70-33382-48-7,Syria,Sindhi,"Thursday, December 19, 1280",DynCorp,231,67.53,4.37,History
57,Anna Karenina,Jane Austen,661-08-35766-73-6,The Bahamas,Hungarian,"Thursday, June 5, 5479",Global Print,548,64.91,2.54,Crime
58,Game of Thrones,Mary Shelley,704-51-15103-03-3,Argentina,Pashto,"Thursday, August 25, 0405",Biolife Grup,183,98.75,2.40,Horror
59,Wuthering Heights,Margaret Atwood,765-72-68521-15-8,Trinidad and Tobago,Malaysian,"Wednesday, July 30, 8555",Facebook,241,88.58,4.03,Comedy
60,The Red and the Black,Jules Verne,202-26-42371-15-3,Peru,Yue,"Tuesday, December 5, 7499",Biolife Grup,384,90.50,4.94,Animation
61,Pride and Prejudice,Carolyn Brown,157-77-03178-74-0,Palau,Russian,"Tuesday, May 5, 7401",Metro Cash&Carry,196,84.66,3.80,Biography
62,Les Misérables,F. Scott Fitzgerald,533-14-32232-72-3,Lebanon,Azerbaijani,"Saturday, January 10, 4291",ENEL,508,78.48,3.33,Action
63,Gulliver's Travels,Doris Lessing,820-46-84456-86-7,Nepal,Arabic,"Sunday, December 17, 1189",Metro Cash&Carry,547,30.01,3.75,Horror
64,Gone With the Wind,Guillaume Musso,867-83-83123-44-0,Tuvalu,Vietnamese,"Tuesday, March 12, 8396",Comodo,318,42.22,2.62,Comedy
65,Great Expectations,Kurt Vonnegut,246-73-65780-28-4,Mauritius,Vietnamese,"Wednesday, October 28, 0443",Leadertech Consulting,314,25.31,4.26,Comedy
66,One Thousand and One Nights,Flannery O'Connor,442-84-68755-13-7,El Salvador,Vietnamese,"Tuesday, August 14, 1866",Danone,368,25.74,1.20,Musical
67,Nineteen Eighty Four,William Shakespeare,175-72-03473-37-3,Palau,Fula,"Tuesday, May 28, 8616",Apple Inc.,284,21.50,3.91,History
68,Hamlet,T. S. Eliot,616-63-75702-16-5,New Zealand,Fula,"Friday, October 13, 0451",Metro Cash&Carry,475,89.84,2.06,Fantasy
69,Gargantua and Pantagruel,Danielle Steel,208-80-06565-34-3,Senegal,Yue,"Friday, April 8, 0327",Boeing,458,50.30,1.63,Animation
70,In Search of Lost Time,Robert Frost,236-30-55032-65-6,Greece,Amharic,"Tuesday, December 1, 6189",Vodafone,199,82.47,1.27,Horror
71,Nineteen Eighty Four,Guillaume Musso,672-34-73280-47-0,Samoa,Swedish,"Sunday, September 8, 5613",CarMax,217,71.69,2.62,History
72,To Kill a Mockingbird,Emily Dickinson,851-12-62482-08-3,The Gambia,Ukrainian,"Saturday, January 29, 3859",Global Print,215,92.73,1.81,Biography
73,Oedipus,William Faulkner,177-18-72373-42-4,Albania,Greek,"Monday, November 15, 9920",Comodo,189,37.75,2.13,Comedy
74,Robinson Crusoe,William Faulkner,882-80-22147-84-6,Argentina,English,"Monday, August 21, 3375",Amazon.com,298,76.11,3.76,Animation
75,The Grapes of Wrath,Jules Verne,030-44-24804-22-7,Kyrgyzstan,Korean,"Monday, May 2, 1616",ExxonMobil,489,47.72,1.75,Sci-Fi
76,Lolita,Margaret Atwood,762-31-40174-04-7,Luxembourg,Gan Chinese,"Thursday, November 30, 2124",BuzzFeed,277,95.48,3.34,Family
77, Oedipus at Colonus,Henry James,576-04-20328-03-3,Jamaica,Amharic,"Saturday, March 4, 6530",Vodafone,210,55.55,2.42,Musical
78,The Divine Comedy,Barbara Cartland,140-83-34870-84-4,Monaco,French,"Thursday, May 31, 7173",Areon Impex,416,84.73,2.30,Musical
79,Gone With the Wind,Jin Yong,235-63-11680-08-7,Yemen,Hindi,"Monday, January 26, 9688",It Smart Group,392,85.82,4.35,Fantasy
80,Nineteen Eighty Four,Mark Twain,646-47-36332-13-6,Chile,Japanese,"Wednesday, October 25, 3595",21st Century Fox,170,78.58,4.20,Sci-Fi
81,The Good Soldier,Carlos Ruiz Zafon,573-47-78334-13-6,Kyrgyzstan,Sundanese,"Tuesday, February 18, 6572",Apple Inc.,187,51.20,4.80,Adventure
82,Wuthering Heights,Alexander Pushkin,873-37-26586-58-1,Tuvalu,Uyghur,"Friday, August 12, 1104",Leadertech Consulting,254,92.66,4.02,Family
83,To the Lighthouse,Margaret Atwood,545-74-84516-54-6,Monaco,Chinese,"Wednesday, December 15, 5419",Telekom,366,17.41,1.44,Thriller
84,Ulysses,Danielle Steel,133-57-58307-42-8,Yemen,French,"Sunday, February 5, 7251",21st Century Fox,242,20.35,3.05,Thriller
85,The Lord of The Rings,Stephen King,143-61-34720-51-8,Germany,English,"Thursday, July 2, 7942",It Smart Group,220,71.04,2.94,Comedy
86,The Sound and the Fury,Alexander Pushkin,074-08-42447-04-7,Guinea,Malaysian,"Friday, November 26, 9976",Boeing,420,59.61,1.04,Action
87,Vanity Fair,Cormac McCarthy,406-55-46345-14-0,Denmark,Gan Chinese,"Friday, January 5, 1866",Areon Impex,260,13.78,1.21,Fantasy
88,Robinson Crusoe,J. K. Rowling,230-30-78303-73-3,El Salvador,Korean,"Wednesday, May 6, 9192",Telekom,267,47.22,4.28,Sci-Fi
89,Moby Dick,Carlos Ruiz Zafon,244-50-21157-31-8,Ukraine,Yoruba,"Wednesday, July 5, 5172",Vodafone,399,87.66,2.21,Thriller
90,Lord of the Flies,Rachel Hollis,110-55-41482-21-7,Ecuador,Amharic,"Friday, July 3, 6736",Comcast,281,73.45,2.93,Fantasy
91,The Divine Comedy,F. Scott Fitzgerald,703-30-38367-44-6,Philippines,Greek,"Thursday, December 2, 0697",Vodafone,380,99.95,3.08,Musical
92,The Sun Also Rises,J. K. Rowling,666-55-65778-03-3,Sweden,Azerbaijani,"Thursday, May 21, 6437",Biolife Grup,217,44.85,3.60,Animation
93,The Divine Comedy,Robert Frost,162-17-35008-78-0,Uzbekistan,Mandarin,"Wednesday, May 9, 6029",Demaco,207,37.60,4.18,Horror
94,Great Expectations,Ralph Waldo Emerson,710-87-66168-48-2,Niger,Sundanese,"Monday, October 27, 1214",Comcast,249,32.29,3.85,Biography
95,Ulysses,Rachel Hollis,130-80-22877-02-8,Malawi,Serbo-Croatian,"Thursday, April 7, 3729",Global Print,471,52.50,2.30,Fantasy
96,The Canterbury Tales,Harper Lee,731-58-88274-80-4,Luxembourg,Chittagonian,"Saturday, August 30, 5281",It Smart Group,301,92.14,1.02,Comedy
97,The Great Gatsby,J. R. R. Tolkien,756-00-61364-30-1,Panama,English,"Tuesday, December 19, 9290",It Smart Group,256,97.83,1.54,Adventure
98,The Scarlet Letter,Mary Shelley,214-38-23277-87-4,Uganda,Yue,"Tuesday, September 8, 1057",Zepter,339,28.06,4.71,Horror
99,Madame Bovary,Barbara Cartland,655-04-11580-17-1,Guinea-Bissau,Sindhi,"Monday, May 14, 1545",Comcast,236,75.18,1.01,Action
100,One Hundred Years of Solitude,John Steinbeck,066-06-45227-32-6,Australia,Wu,"Tuesday, August 19, 8504",21st Century Fox,226,91.48,3.19,Crime
101,Lolita,Alexander Pushkin,430-86-04121-06-5,Estonia,Persian,"Wednesday, May 21, 4110",Areon Impex,407,40.90,4.03,Family
102,Invisible Man,Margaret Atwood,287-56-56773-56-6,Moldova,Sundanese,"Thursday, January 5, 1206",Erickson,560,16.11,4.43,Thriller
103,Vanity Fair,Jin Yong,418-30-38323-88-0,Bosnia and Herzegovina,Tamil,"Wednesday, January 21, 1959",Facebook,486,79.79,1.53,Animation
104,Anna Karenina,Herman Melville,702-81-52541-52-0,Chile,Japanese,"Wednesday, January 4, 6215",BuzzFeed,365,92.01,2.52,Drama
105,Les Misérables,Nathaniel Hawthorne,358-31-64218-63-7,Sweden,Bhojpuri,"Sunday, September 11, 6107",Biolife Grup,559,25.36,4.43,Biography
106,Lolita,Mary Shelley,074-42-52721-12-6,Tajikistan,Pashto,"Sunday, August 12, 8981",Leadertech Consulting,272,45.09,3.07,Drama
107,The Flowers of Evil,Herman Melville,218-78-52342-02-6,Czech Republic,Amharic,"Tuesday, October 25, 1431",UPC,469,51.80,3.24,Romance
108,The Lord of The Rings,Dr. Seuss,683-57-85122-31-1,El Salvador,Arabic,"Thursday, October 9, 6797",UPC,192,94.74,3.82,Biography
109,Madame Bovary,Guillaume Musso,235-67-66584-36-1,Chile,Serbo-Croatian,"Thursday, October 5, 5713",Zepter,199,20.90,2.35,Romance
110,Gone With the Wind,Bella Forrest,156-44-67755-24-2,Sierra Leone,Portuguese,"Saturday, June 3, 2175",Boeing,183,24.79,1.01,Thriller
111,The Flowers of Evil,Paulo Coelo,423-61-84268-14-3,India,French,"Tuesday, September 25, 3263",Global Print,310,72.00,1.91,Drama
112,Oedipus,Carolyn Brown,764-68-53315-33-3,Comoros,English,"Tuesday, March 31, 5040",CarMax,253,51.55,2.33,Comedy
113,The Odyssey,C.S. Lewis,216-31-43833-46-5,Bangladesh,Assamese,"Sunday, June 14, 9226",Boeing,244,54.31,1.20,Thriller
114,Ulysses,Ray Bradbury,123-46-51078-18-0,Tajikistan,Assamese,"Friday, November 19, 4832",Telekom,310,66.94,2.53,Adventure
115,The Handmaid's Tale,Bella Forrest,762-45-87108-00-3,Malawi,Assamese,"Monday, August 13, 3427",Facebook,321,84.71,2.39,Romance
116,The Great Gatsby,Leo Tolstoy,218-60-31166-21-6,Lithuania,Korean,"Wednesday, July 15, 4015",Global Print,377,63.39,2.25,Horror
117,Great Expectations,William Faulkner,860-48-27782-00-7,Lithuania,Greek,"Friday, March 1, 2199",Metro Cash&Carry,308,38.72,1.93,Thriller
118,Hamlet,J. R. R. Tolkien,644-00-11856-13-1,Panama,Fula,"Monday, June 29, 4905",Leadertech Consulting,175,25.65,3.89,Fantasy
119,David Copperfield,Henry James,005-12-10468-86-7,South Africa,Bhojpuri,"Sunday, March 12, 0975",Zepter,526,31.76,3.37,Comedy
120,The Lord of The Rings,Harper Lee,771-03-48410-18-4,Monaco,Polish,"Tuesday, December 20, 4011",Metro Cash&Carry,381,60.17,2.65,Fantasy
121,Gargantua and Pantagruel,Rachel Hollis,277-64-45768-22-5,Egypt,French,"Friday, April 20, 4328",Areon Impex,365,42.55,3.74,Biography
122,The Great Gatsby,T. S. Eliot,683-46-12223-48-2,United Arab Emirates,Italian,"Wednesday, April 2, 2836",Metro Cash&Carry,410,76.85,2.75,Musical
123,Les Misérables,Robert Frost,200-14-21647-54-7,Laos,German,"Monday, September 18, 0034",Biolife Grup,427,33.39,2.50,Animation
124,David Copperfield,Franz Kafka,006-87-30132-40-6,Lithuania,Japanese,"Friday, June 17, 5110",Areon Impex,380,86.49,3.19,Drama
125,The Scarlet Letter,Danielle Steel,666-75-15305-63-5,The Gambia,Greek,"Friday, December 29, 5262",Facebook,357,88.43,1.99,Thriller
126,Tristram Shandy,Agatha Christie,516-01-84655-34-2,Slovenia,Fula,"Tuesday, April 13, 2134",UPC,273,96.80,3.83,Action
127,Gone With the Wind,Rachel Hollis,247-86-36785-25-5,Austria,Serbo-Croatian,"Sunday, May 6, 0773",Comodo,352,29.69,4.39,Fantasy
128,The Brothers Karamazov ,Henry James,312-43-63164-77-5,Belize,Bengali,"Thursday, February 2, 9612",Comcast,188,74.31,2.20,Comedy
129,Wuthering Heights,William Shakespeare,604-64-14626-18-4,Belarus,Gan Chinese,"Monday, November 23, 7744",Amazon.com,541,75.91,3.07,Animation
130,The Handmaid's Tale,J. R. R. Tolkien,773-82-33680-34-0,Eritrea,Bhojpuri,"Monday, November 20, 1482",Global Print,336,58.95,3.07,Sci-Fi
131,Don Quixote,Danielle Steel,176-74-68432-51-3,Luxembourg,Japanese,"Thursday, December 3, 4911",Metro Cash&Carry,202,78.12,1.71,Biography
132,Emma,T. S. Eliot,757-81-34135-82-5,Switzerland,Polish,"Wednesday, October 15, 3214",DynCorp,464,51.64,1.59,Drama
133,Invisible Man,Ray Bradbury,651-14-56636-80-0,France,Yoruba,"Wednesday, October 21, 4876",Areon Impex,172,81.67,4.41,Sci-Fi
134,The Good Soldier,Ernest Hemingway,062-43-13637-78-4,USA,Uyghur,"Sunday, January 24, 7086",Carrefour,294,23.22,1.88,Fantasy
135,Vanity Fair,Mary Shelley,817-00-26534-57-2,Sudan,Russian,"Wednesday, November 7, 1488",CarMax,497,96.12,3.66,Comedy
136, Oedipus at Colonus,Jules Verne,425-36-46287-81-2,Burundi,Gan Chinese,"Sunday, November 4, 3770",BuzzFeed,211,15.39,1.49,History
137,The Old Man and the Sea,Carolyn Brown,023-41-70171-16-5,Niger,Yoruba,"Wednesday, August 23, 8750",ENEL,429,76.23,4.66,Romance
138,The Flowers of Evil,Cormac McCarthy,758-33-71643-83-2,Central African Republic,Hakka,"Saturday, December 15, 0885",Erickson,534,55.08,1.68,Animation
139,Wuthering Heights,Mark Twain,057-00-52226-37-5,Sudan,Pashto,"Friday, October 19, 5573",UPC,256,22.98,3.95,Sci-Fi
140,In Search of Lost Time,Mark Twain,466-64-76748-25-7,Zimbabwe,Yue,"Wednesday, August 4, 0252",UPC,202,57.77,2.45,Musical
141,Alice Adventures in Wonderland,Robert Frost,520-50-87405-37-6,Luxembourg,Sindhi,"Tuesday, August 3, 4500",Areon Impex,303,95.88,3.76,Adventure
142,The Magic Mountain,Franz Kafka,822-56-71175-47-4,"Korea, South",French,"Tuesday, March 1, 0755",UPC,354,39.34,4.18,Romance
143,Gone With the Wind,Kurt Vonnegut,348-06-74637-08-3,Ethiopia,Greek,"Thursday, September 20, 3923",Comodo,566,82.61,4.30,Thriller
144,One Hundred Years of Solitude,Henry James,833-52-47363-15-6,Italy,Polish,"Sunday, August 26, 1703",Demaco,462,94.79,2.66,Comedy
145,The Lord of The Rings,Edith Wharton,806-82-76834-67-0,Colombia,Turkish,"Monday, July 11, 6360",ExxonMobil,197,49.98,2.64,Horror
146,Gulliver's Travels,William Faulkner,508-67-14561-38-4,Uganda,Yue,"Tuesday, October 6, 3620",AECOM,279,23.71,4.24,Horror
147,In Search of Lost Time,Carlos Ruiz Zafon,022-38-62250-88-6,Norway,French,"Tuesday, May 30, 4980",Vodafone,421,65.42,2.39,Sci-Fi
148,Gargantua and Pantagruel,Emily Dickinson,304-85-05378-87-5,Comoros,Portuguese,"Thursday, June 15, 0654",21st Century Fox,246,28.32,4.63,Biography
149,To Kill a Mockingbird,Carlos Ruiz Zafon,780-48-68448-26-3,The Bahamas,Bhojpuri,"Sunday, October 26, 5569",Danone,507,41.97,4.70,Comedy
150,Nineteen Eighty Four,Oscar Wilde,753-31-15784-87-4,"Korea, South",Hakka,"Monday, May 13, 3895",Telekom,393,78.45,1.65,Drama
151,The Metamorphosis,Emily Dickinson,027-34-76858-42-8,Samoa,Ukrainian,"Wednesday, October 2, 9252",Leadertech Consulting,501,62.42,3.70,Animation
152,The Good Soldier,Danielle Steel,116-44-07664-36-5,Kazakhstan,Polish,"Sunday, November 24, 4475",ExxonMobil,223,57.60,4.11,Adventure
153,Paradise Lost,Cormac McCarthy,706-72-67410-78-8,Mauritania,Chittagonian,"Sunday, March 10, 0368",21st Century Fox,499,97.27,1.01,Musical
154,The Divine Comedy,Dr. Seuss,583-33-38574-47-7,United Kingdom,Romanian,"Wednesday, May 21, 3755",Vodafone,284,60.30,2.07,Sci-Fi
155,The Metamorphosis,Guillaume Musso,747-37-17263-44-0,Cameroon,Mandarin,"Saturday, January 12, 9428",AECOM,464,90.54,2.98,Drama
156,Wuthering Heights,Alexander Pushkin,513-87-07360-05-3,Thailand,Italian,"Wednesday, April 26, 2648",Telekom,315,42.89,4.97,Crime
157,The Old Man and the Sea,Barbara Cartland,844-17-76405-68-7,"Congo, Republic of the",Uzbek,"Friday, April 19, 3129",DynCorp,248,35.12,3.51,Drama
158,Paradise Lost,Herman Melville,230-68-73258-75-1,Central African Republic,Romanian,"Friday, June 17, 6174",AECOM,245,61.95,2.00,Biography
159,Oedipus,Henry James,365-11-42550-08-3,Austria,Italian,"Saturday, November 17, 0627",Comodo,187,54.12,2.92,Romance
160,The Great Gatsby,Henry James,376-61-68736-36-7,Afghanistan,Russian,"Saturday, July 28, 5421",Global Print,515,90.23,2.64,Drama
161,The Metamorphosis,Jules Verne,521-04-51623-76-8,United Arab Emirates,Italian,"Wednesday, May 23, 2323",ENEL,347,62.17,1.05,Thriller
162,Ulysses,Leo Tolstoy,520-41-01042-21-3,"Korea, North",Romanian,"Sunday, September 27, 7964",CarMax,237,99.33,3.46,Romance
163,To the Lighthouse,William Shakespeare,100-67-51023-58-6,Brunei,Italian,"Wednesday, October 15, 8634",Danone,307,43.20,3.42,Musical
164,Robinson Crusoe,Edith Wharton,820-85-18424-26-1,Antigua and Barbuda,Korean,"Wednesday, July 23, 5530",AECOM,283,51.03,2.13,Biography
165,Oedipus,Bella Forrest,732-02-51035-25-6,Mauritius,Greek,"Monday, September 25, 1443",Team Guard SRL,530,68.82,1.51,Horror
166,Nineteen Eighty Four,Cormac McCarthy,257-23-15822-45-0,Vanuatu,Mandarin,"Saturday, October 13, 2345",Coca-Cola Company,516,89.71,4.32,Action
167,The Sound and the Fury,Herman Melville,424-32-66668-14-6,"Sudan, South",Azerbaijani,"Tuesday, April 16, 4582",ENEL,352,62.95,4.10,Biography
168,The Good Soldier,Ray Bradbury,780-73-33860-32-6,Trinidad and Tobago,Malaysian,"Monday, June 10, 0858",Team Guard SRL,565,32.05,4.36,Sci-Fi
169,The Flowers of Evil,Horatio Alger,262-81-28782-12-2,Mali,Polish,"Sunday, March 9, 6921",Comodo,221,88.20,4.95,History
170,To the Lighthouse,Tennessee Williams,804-85-36873-14-4,Brunei,Assamese,"Monday, May 4, 3035",Carrefour,372,41.88,2.72,Drama
171,The Sound and the Fury,Cormac McCarthy,530-68-27862-68-1,Niger,Vietnamese,"Wednesday, April 10, 6813",ENEL,474,90.85,4.54,Biography
172,Alice Adventures in Wonderland,Harper Lee,101-75-23333-42-7,Azerbaijan,Hakka,"Wednesday, March 14, 7685",Zepter,361,27.68,2.20,History
173,The Lord of The Rings,Kurt Vonnegut,501-51-26607-38-3,Taiwan,Amharic,"Monday, December 30, 4176",Leadertech Consulting,312,17.65,3.43,Sci-Fi
174,The Old Man and the Sea,Alexander Pushkin,366-15-67218-04-4,Kenya,Chinese,"Sunday, April 14, 4335",Coca-Cola Company,515,33.80,4.72,Crime
175,Les Misérables,J. K. Rowling,351-61-63211-36-5,Seychelles,Spanish,"Tuesday, March 14, 7026",Leadertech Consulting,310,29.04,3.11,Crime
176,Alice Adventures in Wonderland,John Steinbeck,864-43-37473-37-4,Trinidad and Tobago,Chittagonian,"Thursday, April 13, 4361",ExxonMobil,564,18.76,3.06,Thriller
177,Alice Adventures in Wonderland,Herman Melville,455-05-23358-22-2,Mexico,Czech,"Thursday, November 16, 8073",Areon Impex,551,64.95,3.68,History
178,The Old Man and the Sea,Stephenie Meyer,873-52-58162-22-0,Uganda,Japanese,"Friday, October 25, 6295",21st Century Fox,263,95.91,4.72,Romance
179,The Magic Mountain,Horatio Alger,613-21-43646-05-6,Philippines,Sindhi,"Friday, October 14, 3966",Danone,496,38.21,3.78,Musical
180,The Metamorphosis,William Faulkner,858-03-04580-14-3,Norway,Assamese,"Friday, August 18, 6045",Demaco,516,55.81,4.31,Romance
